"sample,group"
"Mouse_1,Non-FILM"
"Mouse_2,Non-FILM"
"Mouse_3,Non-FILM"
"Mouse_4,FILM"
"Mouse_5,FILM"
"Mouse_6,FILM"
"Mouse_7,FILM"
"Mouse_8,FILM"
"Mouse_9,FILM"
"Human_1,Non-FILM"
"Human_2,Non-FILM"
"Human_3,Non-FILM"
"Human_4,Non-FILM"
"Human_5,Non-FILM"
"Human_6,Non-FILM"
"Human_7,Non-FILM"
"Human_8,Non-FILM"
"Human_9,Non-FILM"
"Human_10,FILM"
"Human_11,FILM"
"Human_12,FILM"
"Human_13,FILM"
"Human_14,FILM"
"Human_15,FILM"
"Human_16,FILM"
"Human_17,FILM"
"Human_18,FILM"
